iter	Passed	Remaining
0	1	394
1	1	276
2	2	222
3	2	196
4	3	181
5	3	171
6	3	164
7	4	157
8	4	152
9	5	147
10	5	144
11	5	141
12	6	140
13	6	136
14	7	134
15	7	132
16	7	130
17	8	128
18	8	126
19	8	124
20	9	123
21	9	122
22	10	121
23	10	119
24	10	118
25	11	117
26	11	116
27	11	115
28	12	114
29	12	113
30	12	112
31	13	111
32	13	110
33	14	109
34	14	109
35	14	108
36	15	107
37	15	107
38	15	106
39	16	105
40	16	105
41	17	104
42	17	104
43	17	104
44	18	103
45	18	103
46	19	103
47	19	102
48	20	102
49	20	101
50	20	101
51	21	100
52	21	100
53	21	99
54	22	99
55	22	99
56	23	98
57	23	98
58	23	97
59	24	97
60	24	96
61	25	96
62	25	95
63	25	95
64	26	94
65	27	97
66	27	96
67	28	96
68	28	96
69	29	96
70	29	96
71	30	96
72	31	96
73	31	96
74	32	96
75	32	95
76	32	95
77	33	94
78	33	94
79	33	93
80	34	92
81	34	91
82	34	91
83	35	90
84	35	89
85	35	89
86	36	88
87	36	87
88	36	87
89	37	86
90	37	85
91	37	85
92	37	84
93	38	83
94	38	83
95	38	82
96	39	82
97	39	81
98	39	81
99	40	80
100	40	80
101	41	79
102	41	79
103	42	79
104	42	79
105	43	78
106	43	78
107	43	78
108	44	77
109	44	77
110	45	76
111	45	76
112	45	76
113	46	75
114	46	75
115	47	74
116	47	74
117	48	74
118	48	73
119	48	73
120	49	72
121	49	72
122	50	72
123	50	71
124	50	71
125	51	70
126	51	70
127	52	69
128	52	69
129	52	69
130	53	68
131	53	68
132	53	67
133	54	67
134	54	66
135	55	66
136	55	66
137	55	65
138	56	65
139	56	64
140	57	64
141	57	63
142	57	63
143	58	62
144	58	62
145	58	62
146	59	61
147	59	61
148	59	60
149	60	60
150	60	59
151	60	59
152	61	58
153	61	58
154	62	58
155	62	57
156	62	57
157	63	56
158	63	56
159	64	56
160	64	55
161	64	55
162	65	54
163	65	54
164	65	53
165	66	53
166	66	53
167	67	52
168	67	52
169	67	51
170	68	51
171	68	50
172	68	50
173	69	50
174	69	49
175	69	49
176	70	48
177	70	48
178	70	47
179	70	47
180	71	46
181	71	46
182	72	46
183	73	46
184	73	45
185	73	45
186	74	44
187	74	44
188	74	43
189	75	43
190	75	43
191	75	42
192	76	42
193	76	41
194	76	41
195	77	41
196	77	40
197	78	40
198	78	39
199	79	39
200	79	39
201	79	38
202	80	38
203	80	37
204	81	37
205	81	37
206	81	36
207	82	36
208	82	36
209	83	35
210	83	35
211	84	34
212	84	34
213	84	34
214	85	33
215	85	33
216	86	32
217	86	32
218	87	32
219	87	31
220	87	31
221	88	31
222	88	30
223	89	30
224	89	29
225	90	29
226	90	29
227	91	28
228	92	28
229	92	28
230	93	27
231	93	27
232	94	27
233	94	26
234	94	26
235	95	25
236	95	25
237	96	25
238	96	24
239	97	24
240	97	23
241	97	23
242	98	23
243	98	22
244	99	22
245	99	21
246	99	21
247	100	21
248	100	20
249	101	20
250	101	19
251	101	19
252	102	19
253	102	18
254	103	18
255	103	17
256	104	17
257	104	17
258	104	16
259	105	16
260	105	15
261	106	15
262	106	15
263	107	14
264	107	14
265	108	13
266	108	13
267	108	12
268	109	12
269	109	12
270	110	11
271	110	11
272	110	10
273	111	10
274	111	10
275	112	9
276	112	9
277	112	8
278	113	8
279	113	8
280	114	7
281	114	7
282	114	6
283	115	6
284	115	6
285	116	5
286	116	5
287	116	4
288	117	4
289	117	4
290	118	3
291	118	3
292	118	2
293	119	2
294	119	2
295	120	1
296	120	1
297	121	0
298	121	0
299	122	0
