task_id,dataset,model,accuracy,folds,gate
3,kr-vs-kp,Routernet,0.996875,1,True
3,kr-vs-kp,Uniform,0.990625,1,True
3,kr-vs-kp,GB,0.99375,1,True
3,kr-vs-kp,RF,0.98125,1,True
3,kr-vs-kp,ET,0.984375,1,True
3,kr-vs-kp,SVM,0.978125,1,True
3,kr-vs-kp,MLP,0.990625,1,True
3,kr-vs-kp,RandomForest,0.9875,1,True
3,kr-vs-kp,XGBoost,0.99375,1,True
6,letter,Routernet,0.974,1,True
6,letter,Uniform,0.9745,1,True
6,letter,GB,0.9725,1,True
6,letter,RF,0.8735,1,True
6,letter,ET,0.882,1,True
6,letter,SVM,0.9555,1,True
6,letter,MLP,0.961,1,True
6,letter,RandomForest,0.8685,1,True
6,letter,XGBoost,0.955,1,True
11,balance-scale,Routernet,0.9523809523809523,1,True
11,balance-scale,Uniform,0.9206349206349206,1,True
11,balance-scale,GB,0.9047619047619048,1,True
11,balance-scale,RF,0.9047619047619048,1,True
11,balance-scale,ET,0.9047619047619048,1,True
11,balance-scale,SVM,0.9206349206349206,1,True
11,balance-scale,MLP,1.0,1,True
11,balance-scale,RandomForest,0.8888888888888888,1,True
11,balance-scale,XGBoost,0.9365079365079365,1,True
12,mfeat-factors,Routernet,0.98,1,True
12,mfeat-factors,Uniform,0.98,1,True
12,mfeat-factors,GB,0.96,1,True
12,mfeat-factors,RF,0.97,1,True
12,mfeat-factors,ET,0.96,1,True
12,mfeat-factors,SVM,0.975,1,True
12,mfeat-factors,MLP,0.97,1,True
12,mfeat-factors,RandomForest,0.96,1,True
12,mfeat-factors,XGBoost,0.96,1,True
14,mfeat-fourier,Routernet,0.825,1,True
14,mfeat-fourier,Uniform,0.83,1,True
14,mfeat-fourier,GB,0.85,1,True
14,mfeat-fourier,RF,0.815,1,True
14,mfeat-fourier,ET,0.79,1,True
14,mfeat-fourier,SVM,0.825,1,True
14,mfeat-fourier,MLP,0.805,1,True
14,mfeat-fourier,RandomForest,0.825,1,True
14,mfeat-fourier,XGBoost,0.85,1,True
15,breast-w,Routernet,0.9571428571428572,1,True
15,breast-w,Uniform,0.9571428571428572,1,True
15,breast-w,GB,0.9571428571428572,1,True
15,breast-w,RF,0.9714285714285714,1,True
15,breast-w,ET,0.9857142857142858,1,True
15,breast-w,SVM,0.9857142857142858,1,True
15,breast-w,MLP,0.9714285714285714,1,True
15,breast-w,RandomForest,0.9714285714285714,1,True
15,breast-w,XGBoost,0.9714285714285714,1,True
16,mfeat-karhunen,Routernet,0.98,1,False
16,mfeat-karhunen,Uniform,0.985,1,False
16,mfeat-karhunen,GB,0.955,1,False
16,mfeat-karhunen,RF,0.97,1,False
16,mfeat-karhunen,ET,0.965,1,False
16,mfeat-karhunen,SVM,0.98,1,False
16,mfeat-karhunen,MLP,0.95,1,False
16,mfeat-karhunen,RandomForest,0.97,1,False
16,mfeat-karhunen,XGBoost,0.955,1,False
18,mfeat-morphological,Routernet,0.665,1,False
18,mfeat-morphological,Uniform,0.665,1,False
18,mfeat-morphological,GB,0.68,1,False
18,mfeat-morphological,RF,0.68,1,False
18,mfeat-morphological,ET,0.655,1,False
18,mfeat-morphological,SVM,0.7,1,False
18,mfeat-morphological,MLP,0.66,1,False
18,mfeat-morphological,RandomForest,0.67,1,False
18,mfeat-morphological,XGBoost,0.67,1,False
22,mfeat-zernike,Routernet,0.795,1,False
22,mfeat-zernike,Uniform,0.78,1,False
22,mfeat-zernike,GB,0.77,1,False
22,mfeat-zernike,RF,0.745,1,False
22,mfeat-zernike,ET,0.75,1,False
22,mfeat-zernike,SVM,0.81,1,False
22,mfeat-zernike,MLP,0.79,1,False
22,mfeat-zernike,RandomForest,0.74,1,False
22,mfeat-zernike,XGBoost,0.795,1,False
23,cmc,Routernet,0.5675675675675675,1,False
23,cmc,Uniform,0.5472972972972973,1,False
23,cmc,GB,0.5472972972972973,1,False
23,cmc,RF,0.5878378378378378,1,False
23,cmc,ET,0.5337837837837838,1,False
23,cmc,SVM,0.581081081081081,1,False
23,cmc,MLP,0.5945945945945946,1,False
23,cmc,RandomForest,0.5743243243243243,1,False
23,cmc,XGBoost,0.5743243243243243,1,False
